from,to,type
/brinco-flirt-de-ouro-amarelo-18k-com-diamantes.html,/joias/brincos,PERMANENT
/relogios/282,/relogios,PERMANENT
"/joias/colares/215/Ouro Amarelo 18k/P�rola/de-1001-a-2500/Perola?PS=50&map=c,c,productClusterSearchableIds,specificationFilter_24,specificationFilter_32,priceFrom,ft&O=OrderByNameASC",/joias/colares,PERMANENT
"/aliancas/de-2501-a-5000/20?PS=27&map=c,priceFrom,specificationFilter_21?PS=27&O=OrderByReleaseDateDESC",/aliancas/alianca,PERMANENT
/anel-em-ouro-amarelo-18k-com-diamante-stripes-a1435-2007,/joias/aneis,PERMANENT
/pingentes-de-prata---jolie-glass-pghg363-foil-ro,/jolie/charms,PERMANENT
/brinco-chance-de-ametistas-com-diamante.html,/joias/brincos,PERMANENT
/colecao-maldivas,/joias/colecao/maldivas,PERMANENT
/brinco-oriens-flor-de-ouro-amarelo-18k-com-diamantes-e-esmeralda.html,/joias/brincos,PERMANENT
"/joias/colares/monte-carlo/215/de-501-a-1000/Ouro Amarelo 18k?map=c,c,b,productClusterSearchableIds,priceFrom,specificationFilter_24&PS=54",/joias/colares,PERMANENT
/de-0-a-200/colares,/joias/colares,PERMANENT
/colecao-cosmopolita,/joias/colecao/cosmopolita,PERMANENT
"/joias/colares/215/Perola/de-1001-a-2500?PS=50&map=c,c,productClusterSearchableIds,specificationFilter_32,priceFrom?PS=27&O=OrderByReleaseDateDESC",/joias/colares,PERMANENT
/santos,/,PERMANENT
/pulseiras-de-prata---unique-pu-dbk002-rod-ng,/joias/pulseiras,PERMANENT
/categorias/presentes,/presentes,TEMPORARY
/colecao-destinee,/joias/colecao/destinee,PERMANENT
/colecao-mia,/joias/colecao/mia,PERMANENT
/colecao-saint-tropez,/joias/colecao/saint-tropez,PERMANENT
/brinco-eden-de-ouro-amarelo-18k-com-diamantes-ametista-peridoto-e-topazio-azul-formato-oval.html,/joias/brincos,PERMANENT
/pingente-frozen-de-ouro-amarelo-18k-com-diamantes-e-topazio-incolor.html,/joias/pingentes,PERMANENT
/bazar/l/prata.html,/sale,PERMANENT
"/joias/colares/372/Perola/Prata?PS=50&map=c,c,productClusterIds,specificationFilter_32,specificationFilter_24&O=OrderByPriceASC",/joias/colares,PERMANENT
/relogio-masculino-de-aco-gunmetal-com-pulseira-de-silicone-preta-e-calendario.html,/relogios,PERMANENT
/relogio-diesel-idz7256-z,/relogios/diesel,PERMANENT
/anel-de-prata-com-prasiolita---luxo-emc-ag203-praz,/joias/aneis,PERMANENT
/relogio-monte-carlo-simples-feminino-medio-com-cor-dourado-com-indices-index-visor-de-cristal-mineral-caixa-de-metal-cor-da-caixa-dourado-pulseira-de-couro-com-cor-marrom-resist-ncia-3.html,/relogios/monte-carlo,PERMANENT
/jolie/170/215,/jolie,PERMANENT
/anel-em-ouro-amarelo-18k-com-diamante---chance-ac112la-izy-cris,/joias/aneis,PERMANENT
/colecao-jolie%20angel,/jolie/colecao/angel,PERMANENT
/relogio-monte-carlo-feminino-em-aco-dourado-mx9011-gg-ch,/relogios/monte-carlo,PERMANENT
/colecao-jolie patua,/jolie/colecao/patua,PERMANENT
/blog/?p=3786,/,PERMANENT
/colecao-malha-elo,/joias/colecao/malha-elo,PERMANENT
/jolie-copa,/jolie copa,TEMPORARY
/charm-camera-fotografica-----jolie-viagem-pgh0038-cameras,/jolie/charms,PERMANENT
/brinco-de-ouro-amarelo-18k-granada-medieval.html,/joias/brincos,PERMANENT
/pingente-de-ouro-amarelo-10k-com-ametista.html,/joias/pingentes,PERMANENT
/mjrano-glow-rosa-----jolie-murano-ps0313-murano-bgl,/jolie/charms,PERMANENT
/brinco-em-prata-com-quartzo-negro-gala-dmc06392abr-ag,/joias/brincos,PERMANENT
/brinco-de-ouro-amarelo-18k-perola-infantil.html,/joias/infantil,PERMANENT
/acessorios/cachecol-e-xale/Cachecol/index.html,/acessorios/cachecol-e-xale,PERMANENT
/relogio-fossil-es3586-4xn,/relogios/fossil,PERMANENT
/jolie/de-201-a-500/280,/jolie,PERMANENT
/colecao-malha-palmeira,/joias/colecao/malha-palmeira,PERMANENT
